Use,Year,EnergySources,Amount
Total Energy Available,2012,Unleaded Motor Gasoline (t),42806.0
Total Energy Available,2012,Lead Gasoline (t),4.0
Total Energy Available,2012,Plane Gasoline (t),637.0
Total Energy Available,2012,Kerosene Type Jet Engine Fuel (t),-35963.0
Total Energy Available,2012,Other Kerosene (t),40.0
Total Energy Available,2012,Diesel (t),574996.0
Total Energy Available,2012,Fuel Oil and Other Gas Oils (t),174061.0
Total Energy Available,2012,Mazut S≥1% (t),-41958.0
Total Energy Available,2012,Mazut S<1% (t),58451.0
Total Energy Available,2012,Special Gasoline (t),4720.0
Total Energy Available,2012,Lubricants (t),50427.0
Total Energy Available,2012,Bitumen (t),-56989.0
Total Energy Available,2012,Paraffin wax (t),4449.0
Total Energy Available,2012,Petroleum Coke (t),93031.0
Total Energy Available,2012,Other Petroleum Products (t),-98237.0
Total Energy Available,2012,Natural Gas (thousands of m3),2107159.0
Total Energy Available,2012,Firewood (t),2932810.0
Total Energy Available,2012,Wood Residue and Wood Chips (t),46188.0
Total Energy Available,2012,Wood Briquettes (t),13300.0
Total Energy Available,2012,Wood Pellets (t),-48787.0
Total Energy Available,2012,Charcoal (t),-8838.0
Total Energy Available,2012,Biogas (thousands of m3),0.0
Statistical Difference,2012,Total Electrical Energy (GWh),0.0
Statistical Difference,2012,Anthracite (t),0.0
Statistical Difference,2012,Other Bituminous Coal (t),0.0
Statistical Difference,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Statistical Difference,2012,Coal Briquette (t),0.0
Statistical Difference,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Statistical Difference,2012,Coal Tar (t),0.0
Statistical Difference,2012,Coke (t),0.0
Statistical Difference,2012,Blast Furnace Gas (thousands of m3),0.0
Statistical Difference,2012,Crude Oil (t),0.0
Statistical Difference,2012,Natural Gas Liquids (t),0.0
Statistical Difference,2012,Refined Raw Material (t),0.0
Statistical Difference,2012,Additives (t),0.0
Statistical Difference,2012,Other Hydrocarbons (t),0.0
Statistical Difference,2012,Refinery Gas (t),0.0
Statistical Difference,2012,LPG (t),0.0
Statistical Difference,2012,Oil (t),0.0
Statistical Difference,2012,Unleaded Motor Gasoline (t),0.0
Statistical Difference,2012,Lead Gasoline (t),0.0
Statistical Difference,2012,Plane Gasoline (t),0.0
Statistical Difference,2012,Kerosene Type Jet Engine Fuel (t),0.0
Statistical Difference,2012,Other Kerosene (t),0.0
Statistical Difference,2012,Diesel (t),0.0
Statistical Difference,2012,Fuel Oil and Other Gas Oils (t),0.0
Statistical Difference,2012,Mazut S≥1% (t),0.0
Statistical Difference,2012,Mazut S<1% (t),0.0
Statistical Difference,2012,Special Gasoline (t),0.0
Statistical Difference,2012,Lubricants (t),0.0
Statistical Difference,2012,Bitumen (t),0.0
Statistical Difference,2012,Paraffin wax (t),0.0
Statistical Difference,2012,Petroleum Coke (t),0.0
Statistical Difference,2012,Other Petroleum Products (t),0.0
Statistical Difference,2012,Natural Gas (thousands of m3),0.0
Statistical Difference,2012,Firewood (t),0.0
Statistical Difference,2012,Wood Residue and Wood Chips (t),0.0
Statistical Difference,2012,Wood Briquettes (t),0.0
Statistical Difference,2012,Wood Pellets (t),0.0
Statistical Difference,2012,Charcoal (t),0.0
Statistical Difference,2012,Biogas (thousands of m3),0.0
Energy Production Cost,2012,Total Electrical Energy (GWh),0.0
Energy Production Cost,2012,Anthracite (t),0.0
Energy Production Cost,2012,Other Bituminous Coal (t),39694.0
Energy Production Cost,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",37339846.0
Energy Production Cost,2012,Coal Briquette (t),0.0
Energy Production Cost,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",78282.0
Energy Production Cost,2012,Coal Tar (t),0.0
Energy Production Cost,2012,Coke (t),121778.0
Energy Production Cost,2012,Blast Furnace Gas (thousands of m3),235516.0
Energy Production Cost,2012,Crude Oil (t),2142308.0
Energy Production Cost,2012,Natural Gas Liquids (t),38454.0
Energy Production Cost,2012,Refined Raw Material (t),61417.0
Energy Production Cost,2012,Additives (t),26835.0
Energy Production Cost,2012,Other Hydrocarbons (t),0.0
Energy Production Cost,2012,Refinery Gas (t),0.0
Energy Production Cost,2012,LPG (t),2508.0
Energy Production Cost,2012,Oil (t),38332.0
Energy Production Cost,2012,Unleaded Motor Gasoline (t),0.0
Energy Production Cost,2012,Lead Gasoline (t),0.0
Energy Production Cost,2012,Plane Gasoline (t),0.0
Energy Production Cost,2012,Kerosene Type Jet Engine Fuel (t),0.0
Energy Production Cost,2012,Other Kerosene (t),0.0
Energy Production Cost,2012,Diesel (t),0.0
Energy Production Cost,2012,Fuel Oil and Other Gas Oils (t),10110.0
Energy Production Cost,2012,Mazut S≥1% (t),153811.0
Energy Production Cost,2012,Mazut S<1% (t),25159.0
Energy Production Cost,2012,Special Gasoline (t),0.0
Energy Production Cost,2012,Lubricants (t),0.0
Energy Production Cost,2012,Bitumen (t),0.0
Energy Production Cost,2012,Paraffin wax (t),0.0
Energy Production Cost,2012,Petroleum Coke (t),0.0
Energy Production Cost,2012,Other Petroleum Products (t),1145.0
Energy Production Cost,2012,Natural Gas (thousands of m3),826160.0
Energy Production Cost,2012,Firewood (t),135333.0
Energy Production Cost,2012,Wood Residue and Wood Chips (t),46188.0
Energy Production Cost,2012,Wood Briquettes (t),1244.0
Energy Production Cost,2012,Wood Pellets (t),1957.0
Energy Production Cost,2012,Charcoal (t),0.0
Energy Production Cost,2012,Biogas (thousands of m3),0.0
Generation of Energy by Transformation,2012,Total Electrical Energy (GWh),26885.0
Generation of Energy by Transformation,2012,Anthracite (t),0.0
Generation of Energy by Transformation,2012,Other Bituminous Coal (t),0.0
Generation of Energy by Transformation,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Generation of Energy by Transformation,2012,Coal Briquette (t),0.0
Generation of Energy by Transformation,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",519556.0
Generation of Energy by Transformation,2012,Coal Tar (t),0.0
Generation of Energy by Transformation,2012,Coke (t),0.0
Generation of Energy by Transformation,2012,Blast Furnace Gas (thousands of m3),720539.0
Generation of Energy by Transformation,2012,Crude Oil (t),0.0
Generation of Energy by Transformation,2012,Natural Gas Liquids (t),0.0
Generation of Energy by Transformation,2012,Refined Raw Material (t),0.0
Generation of Energy by Transformation,2012,Additives (t),5150.0
Generation of Energy by Transformation,2012,Other Hydrocarbons (t),0.0
Generation of Energy by Transformation,2012,Refinery Gas (t),37178.0
Generation of Energy by Transformation,2012,LPG (t),115514.0
Generation of Energy by Transformation,2012,Oil (t),127197.0
Generation of Energy by Transformation,2012,Unleaded Motor Gasoline (t),372745.0
Generation of Energy by Transformation,2012,Lead Gasoline (t),0.0
Generation of Energy by Transformation,2012,Plane Gasoline (t),0.0
Generation of Energy by Transformation,2012,Kerosene Type Jet Engine Fuel (t),73296.0
Generation of Energy by Transformation,2012,Other Kerosene (t),0.0
Generation of Energy by Transformation,2012,Diesel (t),605350.0
Generation of Energy by Transformation,2012,Fuel Oil and Other Gas Oils (t),96500.0
Generation of Energy by Transformation,2012,Mazut S≥1% (t),402800.0
Generation of Energy by Transformation,2012,Mazut S<1% (t),70457.0
Generation of Energy by Transformation,2012,Special Gasoline (t),0.0
Generation of Energy by Transformation,2012,Lubricants (t),21040.0
Generation of Energy by Transformation,2012,Bitumen (t),172906.0
Generation of Energy by Transformation,2012,Paraffin wax (t),0.0
Generation of Energy by Transformation,2012,Petroleum Coke (t),25341.0
Generation of Energy by Transformation,2012,Other Petroleum Products (t),170411.0
Generation of Energy by Transformation,2012,Natural Gas (thousands of m3),0.0
Generation of Energy by Transformation,2012,Firewood (t),0.0
Generation of Energy by Transformation,2012,Wood Residue and Wood Chips (t),0.0
Generation of Energy by Transformation,2012,Wood Briquettes (t),13204.0
Generation of Energy by Transformation,2012,Wood Pellets (t),79109.0
Generation of Energy by Transformation,2012,Charcoal (t),9614.0
Generation of Energy by Transformation,2012,Biogas (thousands of m3),0.0
Exchange,2012,Total Electrical Energy (GWh),9914.0
Exchange,2012,Anthracite (t),0.0
Exchange,2012,Other Bituminous Coal (t),0.0
Exchange,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Exchange,2012,Coal Briquette (t),0.0
Exchange,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Exchange,2012,Coal Tar (t),0.0
Exchange,2012,Coke (t),0.0
Exchange,2012,Blast Furnace Gas (thousands of m3),0.0
Exchange,2012,Crude Oil (t),0.0
Exchange,2012,Natural Gas Liquids (t),0.0
Exchange,2012,Refined Raw Material (t),0.0
Exchange,2012,Additives (t),0.0
Exchange,2012,Other Hydrocarbons (t),0.0
Exchange,2012,Refinery Gas (t),0.0
Exchange,2012,LPG (t),0.0
Exchange,2012,Oil (t),0.0
Exchange,2012,Unleaded Motor Gasoline (t),0.0
Exchange,2012,Lead Gasoline (t),0.0
Exchange,2012,Plane Gasoline (t),0.0
Exchange,2012,Kerosene Type Jet Engine Fuel (t),0.0
Exchange,2012,Other Kerosene (t),0.0
Exchange,2012,Diesel (t),0.0
Exchange,2012,Fuel Oil and Other Gas Oils (t),0.0
Exchange,2012,Mazut S≥1% (t),0.0
Exchange,2012,Mazut S<1% (t),0.0
Exchange,2012,Special Gasoline (t),0.0
Exchange,2012,Lubricants (t),0.0
Exchange,2012,Bitumen (t),0.0
Exchange,2012,Paraffin wax (t),0.0
Exchange,2012,Petroleum Coke (t),0.0
Exchange,2012,Other Petroleum Products (t),0.0
Exchange,2012,Natural Gas (thousands of m3),0.0
Exchange,2012,Firewood (t),0.0
Exchange,2012,Wood Residue and Wood Chips (t),0.0
Exchange,2012,Wood Briquettes (t),0.0
Exchange,2012,Wood Pellets (t),0.0
Exchange,2012,Charcoal (t),0.0
Exchange,2012,Biogas (thousands of m3),0.0
Exchanged Products,2012,Total Electrical Energy (GWh),9914.0
Exchanged Products,2012,Anthracite (t),0.0
Exchanged Products,2012,Other Bituminous Coal (t),0.0
Exchanged Products,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Exchanged Products,2012,Coal Briquette (t),0.0
Exchanged Products,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Exchanged Products,2012,Coal Tar (t),0.0
Exchanged Products,2012,Coke (t),0.0
Exchanged Products,2012,Blast Furnace Gas (thousands of m3),0.0
Exchanged Products,2012,Crude Oil (t),0.0
Exchanged Products,2012,Natural Gas Liquids (t),0.0
Exchanged Products,2012,Refined Raw Material (t),25495.0
Exchanged Products,2012,Additives (t),0.0
Exchanged Products,2012,Other Hydrocarbons (t),0.0
Exchanged Products,2012,Refinery Gas (t),0.0
Exchanged Products,2012,LPG (t),-1263.0
Exchanged Products,2012,Oil (t),-2198.0
Exchanged Products,2012,Unleaded Motor Gasoline (t),0.0
Exchanged Products,2012,Lead Gasoline (t),0.0
Exchanged Products,2012,Plane Gasoline (t),0.0
Exchanged Products,2012,Kerosene Type Jet Engine Fuel (t),-3.0
Exchanged Products,2012,Other Kerosene (t),0.0
Exchanged Products,2012,Diesel (t),-40.0
Exchanged Products,2012,Fuel Oil and Other Gas Oils (t),0.0
Exchanged Products,2012,Mazut S≥1% (t),0.0
Exchanged Products,2012,Mazut S<1% (t),0.0
Exchanged Products,2012,Special Gasoline (t),0.0
Exchanged Products,2012,Lubricants (t),0.0
Exchanged Products,2012,Bitumen (t),-100.0
Exchanged Products,2012,Paraffin wax (t),0.0
Exchanged Products,2012,Petroleum Coke (t),0.0
Exchanged Products,2012,Other Petroleum Products (t),-21891.0
Exchanged Products,2012,Natural Gas (thousands of m3),0.0
Exchanged Products,2012,Firewood (t),0.0
Exchanged Products,2012,Wood Residue and Wood Chips (t),0.0
Exchanged Products,2012,Wood Briquettes (t),0.0
Exchanged Products,2012,Wood Pellets (t),0.0
Exchanged Products,2012,Charcoal (t),0.0
Exchanged Products,2012,Biogas (thousands of m3),0.0
Internal Product Exchange,2012,Total Electrical Energy (GWh),0.0
Internal Product Exchange,2012,Anthracite (t),0.0
Internal Product Exchange,2012,Other Bituminous Coal (t),0.0
Internal Product Exchange,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Internal Product Exchange,2012,Coal Briquette (t),0.0
Internal Product Exchange,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Internal Product Exchange,2012,Coal Tar (t),0.0
Internal Product Exchange,2012,Coke (t),0.0
Internal Product Exchange,2012,Blast Furnace Gas (thousands of m3),0.0
Internal Product Exchange,2012,Crude Oil (t),0.0
Internal Product Exchange,2012,Natural Gas Liquids (t),0.0
Internal Product Exchange,2012,Refined Raw Material (t),0.0
Internal Product Exchange,2012,Additives (t),0.0
Internal Product Exchange,2012,Other Hydrocarbons (t),0.0
Internal Product Exchange,2012,Refinery Gas (t),0.0
Internal Product Exchange,2012,LPG (t),0.0
Internal Product Exchange,2012,Oil (t),0.0
Internal Product Exchange,2012,Unleaded Motor Gasoline (t),0.0
Internal Product Exchange,2012,Lead Gasoline (t),0.0
Internal Product Exchange,2012,Plane Gasoline (t),0.0
Internal Product Exchange,2012,Kerosene Type Jet Engine Fuel (t),0.0
Internal Product Exchange,2012,Other Kerosene (t),0.0
Internal Product Exchange,2012,Diesel (t),0.0
Internal Product Exchange,2012,Fuel Oil and Other Gas Oils (t),0.0
Internal Product Exchange,2012,Mazut S≥1% (t),0.0
Internal Product Exchange,2012,Mazut S<1% (t),0.0
Internal Product Exchange,2012,Special Gasoline (t),0.0
Internal Product Exchange,2012,Lubricants (t),0.0
Internal Product Exchange,2012,Bitumen (t),0.0
Internal Product Exchange,2012,Paraffin wax (t),0.0
Internal Product Exchange,2012,Petroleum Coke (t),0.0
Internal Product Exchange,2012,Other Petroleum Products (t),0.0
Internal Product Exchange,2012,Natural Gas (thousands of m3),0.0
Internal Product Exchange,2012,Firewood (t),0.0
Internal Product Exchange,2012,Wood Residue and Wood Chips (t),0.0
Internal Product Exchange,2012,Wood Briquettes (t),0.0
Internal Product Exchange,2012,Wood Pellets (t),0.0
Internal Product Exchange,2012,Charcoal (t),0.0
Internal Product Exchange,2012,Biogas (thousands of m3),0.0
Returned from Petrochemistry,2012,Total Electrical Energy (GWh),0.0
Returned from Petrochemistry,2012,Anthracite (t),0.0
Returned from Petrochemistry,2012,Other Bituminous Coal (t),0.0
Returned from Petrochemistry,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Returned from Petrochemistry,2012,Coal Briquette (t),0.0
Returned from Petrochemistry,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Returned from Petrochemistry,2012,Coal Tar (t),0.0
Returned from Petrochemistry,2012,Coke (t),0.0
Returned from Petrochemistry,2012,Blast Furnace Gas (thousands of m3),0.0
Returned from Petrochemistry,2012,Crude Oil (t),0.0
Returned from Petrochemistry,2012,Natural Gas Liquids (t),0.0
Returned from Petrochemistry,2012,Refined Raw Material (t),26296.0
Returned from Petrochemistry,2012,Additives (t),0.0
Returned from Petrochemistry,2012,Other Hydrocarbons (t),0.0
Returned from Petrochemistry,2012,Refinery Gas (t),0.0
Returned from Petrochemistry,2012,LPG (t),0.0
Returned from Petrochemistry,2012,Oil (t),0.0
Returned from Petrochemistry,2012,Unleaded Motor Gasoline (t),0.0
Returned from Petrochemistry,2012,Lead Gasoline (t),-26296.0
Returned from Petrochemistry,2012,Plane Gasoline (t),0.0
Returned from Petrochemistry,2012,Kerosene Type Jet Engine Fuel (t),0.0
Returned from Petrochemistry,2012,Other Kerosene (t),0.0
Returned from Petrochemistry,2012,Diesel (t),0.0
Returned from Petrochemistry,2012,Fuel Oil and Other Gas Oils (t),0.0
Returned from Petrochemistry,2012,Mazut S≥1% (t),0.0
Returned from Petrochemistry,2012,Mazut S<1% (t),0.0
Returned from Petrochemistry,2012,Special Gasoline (t),0.0
Returned from Petrochemistry,2012,Lubricants (t),0.0
Returned from Petrochemistry,2012,Bitumen (t),0.0
Returned from Petrochemistry,2012,Paraffin wax (t),0.0
Returned from Petrochemistry,2012,Petroleum Coke (t),0.0
Returned from Petrochemistry,2012,Other Petroleum Products (t),0.0
Returned from Petrochemistry,2012,Natural Gas (thousands of m3),0.0
Returned from Petrochemistry,2012,Firewood (t),0.0
Returned from Petrochemistry,2012,Wood Residue and Wood Chips (t),0.0
Returned from Petrochemistry,2012,Wood Briquettes (t),0.0
Returned from Petrochemistry,2012,Wood Pellets (t),0.0
Returned from Petrochemistry,2012,Charcoal (t),0.0
Returned from Petrochemistry,2012,Biogas (thousands of m3),0.0
Own Consumption in Energy Sector,2012,Total Electrical Energy (GWh),4239.0
Own Consumption in Energy Sector,2012,Anthracite (t),0.0
Own Consumption in Energy Sector,2012,Other Bituminous Coal (t),0.0
Own Consumption in Energy Sector,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Own Consumption in Energy Sector,2012,Coal Briquette (t),0.0
Own Consumption in Energy Sector,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Own Consumption in Energy Sector,2012,Coal Tar (t),0.0
Own Consumption in Energy Sector,2012,Coke (t),0.0
Own Consumption in Energy Sector,2012,Blast Furnace Gas (thousands of m3),0.0
Own Consumption in Energy Sector,2012,Crude Oil (t),0.0
Own Consumption in Energy Sector,2012,Natural Gas Liquids (t),0.0
Own Consumption in Energy Sector,2012,Refined Raw Material (t),0.0
Own Consumption in Energy Sector,2012,Additives (t),0.0
Own Consumption in Energy Sector,2012,Other Hydrocarbons (t),0.0
Own Consumption in Energy Sector,2012,Refinery Gas (t),37178.0
Own Consumption in Energy Sector,2012,LPG (t),6172.0
Own Consumption in Energy Sector,2012,Oil (t),0.0
Own Consumption in Energy Sector,2012,Unleaded Motor Gasoline (t),0.0
Own Consumption in Energy Sector,2012,Lead Gasoline (t),0.0
Own Consumption in Energy Sector,2012,Plane Gasoline (t),0.0
Own Consumption in Energy Sector,2012,Kerosene Type Jet Engine Fuel (t),0.0
Own Consumption in Energy Sector,2012,Other Kerosene (t),0.0
Own Consumption in Energy Sector,2012,Diesel (t),0.0
Own Consumption in Energy Sector,2012,Fuel Oil and Other Gas Oils (t),2197.0
Own Consumption in Energy Sector,2012,Mazut S≥1% (t),88029.0
Own Consumption in Energy Sector,2012,Mazut S<1% (t),4355.0
Own Consumption in Energy Sector,2012,Special Gasoline (t),0.0
Own Consumption in Energy Sector,2012,Lubricants (t),0.0
Own Consumption in Energy Sector,2012,Bitumen (t),0.0
Own Consumption in Energy Sector,2012,Paraffin wax (t),0.0
Own Consumption in Energy Sector,2012,Petroleum Coke (t),25341.0
Own Consumption in Energy Sector,2012,Other Petroleum Products (t),26.0
Own Consumption in Energy Sector,2012,Natural Gas (thousands of m3),93736.0
Own Consumption in Energy Sector,2012,Firewood (t),0.0
Own Consumption in Energy Sector,2012,Wood Residue and Wood Chips (t),0.0
Own Consumption in Energy Sector,2012,Wood Briquettes (t),0.0
Own Consumption in Energy Sector,2012,Wood Pellets (t),0.0
Own Consumption in Energy Sector,2012,Charcoal (t),0.0
Own Consumption in Energy Sector,2012,Biogas (thousands of m3),0.0
Losses,2012,Total Electrical Energy (GWh),5609.0
Losses,2012,Anthracite (t),0.0
Losses,2012,Other Bituminous Coal (t),0.0
Losses,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",1315.0
Losses,2012,Coal Briquette (t),0.0
Losses,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",455.0
Losses,2012,Coal Tar (t),0.0
Losses,2012,Coke (t),49.0
Losses,2012,Blast Furnace Gas (thousands of m3),192312.0
Losses,2012,Crude Oil (t),0.0
Losses,2012,Natural Gas Liquids (t),0.0
Losses,2012,Refined Raw Material (t),0.0
Losses,2012,Additives (t),0.0
Losses,2012,Other Hydrocarbons (t),0.0
Losses,2012,Refinery Gas (t),0.0
Losses,2012,LPG (t),0.0
Losses,2012,Oil (t),0.0
Losses,2012,Unleaded Motor Gasoline (t),0.0
Losses,2012,Lead Gasoline (t),0.0
Losses,2012,Plane Gasoline (t),0.0
Losses,2012,Kerosene Type Jet Engine Fuel (t),0.0
Losses,2012,Other Kerosene (t),0.0
Losses,2012,Diesel (t),0.0
Losses,2012,Fuel Oil and Other Gas Oils (t),0.0
Losses,2012,Mazut S≥1% (t),0.0
Losses,2012,Mazut S<1% (t),0.0
Losses,2012,Special Gasoline (t),0.0
Losses,2012,Lubricants (t),0.0
Losses,2012,Bitumen (t),0.0
Losses,2012,Paraffin wax (t),0.0
Losses,2012,Petroleum Coke (t),0.0
Losses,2012,Other Petroleum Products (t),21378.0
Losses,2012,Natural Gas (thousands of m3),11847.0
Losses,2012,Firewood (t),163.0
Losses,2012,Wood Residue and Wood Chips (t),0.0
Losses,2012,Wood Briquettes (t),0.0
Losses,2012,Wood Pellets (t),0.0
Losses,2012,Charcoal (t),0.0
Losses,2012,Biogas (thousands of m3),0.0
Energy Available for Final Consumption,2012,Total Electrical Energy (GWh),27340.0
Energy Available for Final Consumption,2012,Anthracite (t),10823.0
Energy Available for Final Consumption,2012,Other Bituminous Coal (t),111038.0
Energy Available for Final Consumption,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",1272630.0
Energy Available for Final Consumption,2012,Coal Briquette (t),2.0
Energy Available for Final Consumption,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",399450.0
Energy Available for Final Consumption,2012,Coal Tar (t),7.0
Energy Available for Final Consumption,2012,Coke (t),32115.0
Energy Available for Final Consumption,2012,Blast Furnace Gas (thousands of m3),292711.0
Energy Available for Final Consumption,2012,Crude Oil (t),0.0
Energy Available for Final Consumption,2012,Natural Gas Liquids (t),0.0
Energy Available for Final Consumption,2012,Refined Raw Material (t),0.0
Energy Available for Final Consumption,2012,Additives (t),0.0
Energy Available for Final Consumption,2012,Other Hydrocarbons (t),0.0
Energy Available for Final Consumption,2012,Refinery Gas (t),0.0
Energy Available for Final Consumption,2012,LPG (t),361186.0
Energy Available for Final Consumption,2012,Oil (t),91391.0
Energy Available for Final Consumption,2012,Unleaded Motor Gasoline (t),415551.0
Energy Available for Final Consumption,2012,Lead Gasoline (t),4.0
Energy Available for Final Consumption,2012,Plane Gasoline (t),637.0
Energy Available for Final Consumption,2012,Kerosene Type Jet Engine Fuel (t),37330.0
Energy Available for Final Consumption,2012,Other Kerosene (t),40.0
Energy Available for Final Consumption,2012,Diesel (t),1180306.0
Energy Available for Final Consumption,2012,Fuel Oil and Other Gas Oils (t),258254.0
Energy Available for Final Consumption,2012,Mazut S≥1% (t),119002.0
Energy Available for Final Consumption,2012,Mazut S<1% (t),99394.0
Energy Available for Final Consumption,2012,Special Gasoline (t),4720.0
Energy Available for Final Consumption,2012,Lubricants (t),71467.0
Energy Available for Final Consumption,2012,Bitumen (t),115817.0
Energy Available for Final Consumption,2012,Paraffin wax (t),4449.0
Energy Available for Final Consumption,2012,Petroleum Coke (t),93031.0
Energy Available for Final Consumption,2012,Other Petroleum Products (t),27734.0
Energy Available for Final Consumption,2012,Natural Gas (thousands of m3),1175416.0
Energy Available for Final Consumption,2012,Firewood (t),2797314.0
Energy Available for Final Consumption,2012,Wood Residue and Wood Chips (t),0.0
Energy Available for Final Consumption,2012,Wood Briquettes (t),25260.0
Energy Available for Final Consumption,2012,Wood Pellets (t),28365.0
Energy Available for Final Consumption,2012,Charcoal (t),776.0
Energy Available for Final Consumption,2012,Biogas (thousands of m3),0.0
Final Consumption for Non-energy Purposes,2012,Total Electrical Energy (GWh),0.0
Final Consumption for Non-energy Purposes,2012,Anthracite (t),605.0
Final Consumption for Non-energy Purposes,2012,Other Bituminous Coal (t),42294.0
Final Consumption for Non-energy Purposes,2012,"Sub-bituminous Coal, Brown Coal and Lignite (t)",6855.0
Final Consumption for Non-energy Purposes,2012,Coal Briquette (t),0.0
Final Consumption for Non-energy Purposes,2012,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Final Consumption for Non-energy Purposes,2012,Coal Tar (t),7.0
Final Consumption for Non-energy Purposes,2012,Coke (t),3941.0
Final Consumption for Non-energy Purposes,2012,Blast Furnace Gas (thousands of m3),0.0
Final Consumption for Non-energy Purposes,2012,Crude Oil (t),0.0
Final Consumption for Non-energy Purposes,2012,Natural Gas Liquids (t),0.0
Final Consumption for Non-energy Purposes,2012,Refined Raw Material (t),0.0
Final Consumption for Non-energy Purposes,2012,Additives (t),0.0
Final Consumption for Non-energy Purposes,2012,Other Hydrocarbons (t),0.0
Final Consumption for Non-energy Purposes,2012,Refinery Gas (t),0.0
Final Consumption for Non-energy Purposes,2012,LPG (t),13.0
Final Consumption for Non-energy Purposes,2012,Oil (t),91391.0
Final Consumption for Non-energy Purposes,2012,Unleaded Motor Gasoline (t),0.0
Final Consumption for Non-energy Purposes,2012,Lead Gasoline (t),0.0
Final Consumption for Non-energy Purposes,2012,Plane Gasoline (t),0.0
Final Consumption for Non-energy Purposes,2012,Kerosene Type Jet Engine Fuel (t),0.0
Final Consumption for Non-energy Purposes,2012,Other Kerosene (t),40.0
Final Consumption for Non-energy Purposes,2012,Diesel (t),0.0
Final Consumption for Non-energy Purposes,2012,Fuel Oil and Other Gas Oils (t),0.0
Final Consumption for Non-energy Purposes,2012,Mazut S≥1% (t),1626.0
Final Consumption for Non-energy Purposes,2012,Mazut S<1% (t),0.0
Final Consumption for Non-energy Purposes,2012,Special Gasoline (t),4720.0
Final Consumption for Non-energy Purposes,2012,Lubricants (t),71467.0
Final Consumption for Non-energy Purposes,2012,Bitumen (t),115817.0
Final Consumption for Non-energy Purposes,2012,Paraffin wax (t),4449.0
Final Consumption for Non-energy Purposes,2012,Petroleum Coke (t),0.0
Final Consumption for Non-energy Purposes,2012,Other Petroleum Products (t),0.0
Final Consumption for Non-energy Purposes,2012,Natural Gas (thousands of m3),21496.0
Final Consumption for Non-energy Purposes,2012,Firewood (t),0.0
Final Consumption for Non-energy Purposes,2012,Wood Residue and Wood Chips (t),0.0
Final Consumption for Non-energy Purposes,2012,Wood Briquettes (t),0.0
Final Consumption for Non-energy Purposes,2012,Wood Pellets (t),0.0
Final Consumption for Non-energy Purposes,2012,Charcoal (t),0.0
Final Consumption for Non-energy Purposes,2012,Biogas (thousands of m3),0.0
Primary Energy Production,2013,Total Electrical Energy (GWh),0.0
Primary Energy Production,2013,Anthracite (t),0.0
Primary Energy Production,2013,Other Bituminous Coal (t),0.0
Primary Energy Production,2013,"Sub-bituminous Coal, Brown Coal and Lignite (t)",40297123.0
Primary Energy Production,2013,Coal Briquette (t),0.0
Primary Energy Production,2013,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Primary Energy Production,2013,Coal Tar (t),0.0
Primary Energy Production,2013,Coke (t),0.0
Primary Energy Production,2013,Blast Furnace Gas (thousands of m3),0.0
Primary Energy Production,2013,Crude Oil (t),1160095.0
Primary Energy Production,2013,Natural Gas Liquids (t),35443.0
Primary Energy Production,2013,Refined Raw Material (t),0.0
Primary Energy Production,2013,Additives (t),0.0
Primary Energy Production,2013,Other Hydrocarbons (t),0.0
Primary Energy Production,2013,Refinery Gas (t),0.0
Primary Energy Production,2013,LPG (t),0.0
Primary Energy Production,2013,Oil (t),0.0
Primary Energy Production,2013,Unleaded Motor Gasoline (t),0.0
Primary Energy Production,2013,Lead Gasoline (t),0.0
Primary Energy Production,2013,Plane Gasoline (t),0.0
Primary Energy Production,2013,Kerosene Type Jet Engine Fuel (t),0.0
Primary Energy Production,2013,Other Kerosene (t),0.0
Primary Energy Production,2013,Diesel (t),0.0
Primary Energy Production,2013,Fuel Oil and Other Gas Oils (t),0.0
Primary Energy Production,2013,Mazut S≥1% (t),0.0
Primary Energy Production,2013,Mazut S<1% (t),0.0
