Region,SettlementType,Year,TypeOfSpending,Amount(RSD),StructuralPercentage
Voyvodina/North,Total,2008,"Housing, Water, Energy, Gas, etc.",6747.0,16.9
Voyvodina/North,Total,2008,Home Equipment and Maintenance,2135.0,5.4
Voyvodina/North,Total,2008,Health,1356.0,3.4
Voyvodina/North,Total,2008,Transport,4063.0,10.2
Voyvodina/North,Total,2008,Communication,1312.0,3.3
Voyvodina/North,Total,2008,Culture and Recreation,1808.0,4.5
Voyvodina/North,Total,2008,Education,434.0,1.1
Voyvodina/North,Total,2008,Hotels and Restaurants,766.0,1.9
Voyvodina/North,Total,2008,Other Items and Services,1960.0,4.9
Voyvodina/North,City,2008,Total,40810.0,100.0
Voyvodina/North,City,2008,Food and Non-Alcoholic Beverages,15095.0,36.9
Voyvodina/North,City,2008,"Alcohol, Tobacco and Narcotics",1465.0,3.6
Voyvodina/North,City,2008,Clothing and Footwear,2348.0,5.8
Voyvodina/North,City,2008,"Housing, Water, Energy, Gas, etc.",7328.0,18.0
Voyvodina/North,City,2008,Home Equipment and Maintenance,2134.0,5.2
Voyvodina/North,City,2008,Health,1463.0,3.6
Voyvodina/North,City,2008,Transport,4016.0,9.8
Voyvodina/North,City,2008,Communication,1429.0,3.5
Voyvodina/North,City,2008,Culture and Recreation,2153.0,5.3
Voyvodina/North,City,2008,Education,465.0,1.1
Voyvodina/North,City,2008,Hotels and Restaurants,849.0,2.1
Voyvodina/North,City,2008,Other Items and Services,2065.0,5.1
Voyvodina/North,Rest,2008,Total,38533.0,100.0
Voyvodina/North,Rest,2008,Food and Non-Alcoholic Beverages,16056.0,41.7
Voyvodina/North,Rest,2008,"Alcohol, Tobacco and Narcotics",1765.0,4.6
Voyvodina/North,Rest,2008,Clothing and Footwear,1949.0,5.1
Voyvodina/North,Rest,2008,"Housing, Water, Energy, Gas, etc.",5950.0,15.4
Voyvodina/North,Rest,2008,Home Equipment and Maintenance,2134.0,5.5
Voyvodina/North,Rest,2008,Health,1210.0,3.1
Voyvodina/North,Rest,2008,Transport,4123.0,10.7
Voyvodina/North,Rest,2008,Communication,1150.0,3.0
Voyvodina/North,Rest,2008,Culture and Recreation,1331.0,3.5
Voyvodina/North,Rest,2008,Education,394.0,1.0
Voyvodina/North,Rest,2008,Hotels and Restaurants,652.0,1.7
Voyvodina/North,Rest,2008,Other Items and Services,1819.0,4.7
Central and West,Total,2008,Total,39060.0,100.0
Central and West,Total,2008,Food and Non-Alcoholic Beverages,16348.0,42.0
Central and West,Total,2008,"Alcohol, Tobacco and Narcotics",1924.0,4.9
Central and West,Total,2008,Clothing and Footwear,2456.0,6.3
Central and West,Total,2008,"Housing, Water, Energy, Gas, etc.",6257.0,16.0
Central and West,Total,2008,Home Equipment and Maintenance,1920.0,4.9
Central and West,Total,2008,Health,1362.0,3.5
Central and West,Total,2008,Transport,3588.0,9.2
Central and West,Total,2008,Communication,1323.0,3.4
Central and West,Total,2008,Culture and Recreation,1579.0,4.0
Central and West,Total,2008,Education,370.0,0.9
Central and West,Total,2008,Hotels and Restaurants,664.0,1.7
Central and West,Total,2008,Other Items and Services,1269.0,3.2
Central and West,City,2008,Total,40347.0,100.0
Central and West,City,2008,Food and Non-Alcoholic Beverages,15917.0,39.6
Central and West,City,2008,"Alcohol, Tobacco and Narcotics",1855.0,4.6
Central and West,City,2008,Clothing and Footwear,2752.0,6.8
Central and West,City,2008,"Housing, Water, Energy, Gas, etc.",6785.0,16.8
Central and West,City,2008,Home Equipment and Maintenance,1969.0,4.9
Central and West,City,2008,Health,1428.0,3.5
Central and West,City,2008,Transport,3414.0,8.5
Central and West,City,2008,Communication,1498.0,3.7
Central and West,City,2008,Culture and Recreation,2024.0,5.0
Central and West,City,2008,Education,579.0,1.4
Central and West,City,2008,Hotels and Restaurants,778.0,1.9
Central and West,City,2008,Other Items and Services,1348.0,3.3
Central and West,Rest,2008,Total,37903.0,100.0
Central and West,Rest,2008,Food and Non-Alcoholic Beverages,16723.0,44.1
Central and West,Rest,2008,"Alcohol, Tobacco and Narcotics",1988.0,5.2
Central and West,Rest,2008,Clothing and Footwear,2193.0,5.8
Central and West,Rest,2008,"Housing, Water, Energy, Gas, etc.",5786.0,15.3
Central and West,Rest,2008,Home Equipment and Maintenance,1873.0,4.9
Central and West,Rest,2008,Health,1304.0,3.4
Central and West,Rest,2008,Transport,3745.0,9.9
Central and West,Rest,2008,Communication,1168.0,3.1
Central and West,Rest,2008,Culture and Recreation,1177.0,3.1
Central and West,Rest,2008,Education,184.0,0.5
Central and West,Rest,2008,Hotels and Restaurants,562.0,1.5
Central and West,Rest,2008,Other Items and Services,1200.0,3.2
South and East,Total,2008,Total,34646.0,100.0
South and East,Total,2008,Food and Non-Alcoholic Beverages,15694.0,45.2
South and East,Total,2008,"Alcohol, Tobacco and Narcotics",1685.0,4.9
South and East,Total,2008,Clothing and Footwear,1914.0,5.5
South and East,Total,2008,"Housing, Water, Energy, Gas, etc.",5024.0,14.5
South and East,Total,2008,Home Equipment and Maintenance,1504.0,4.3
South and East,Total,2008,Health,1302.0,3.8
South and East,Total,2008,Transport,3312.0,9.6
South and East,Total,2008,Communication,1110.0,3.2
South and East,Total,2008,Culture and Recreation,1214.0,3.5
South and East,Total,2008,Education,205.0,0.6
South and East,Total,2008,Hotels and Restaurants,684.0,2.0
South and East,Total,2008,Other Items and Services,998.0,2.9
South and East,City,2008,Total,36673.0,100.0
South and East,City,2008,Food and Non-Alcoholic Beverages,15669.0,42.6
South and East,City,2008,"Alcohol, Tobacco and Narcotics",1728.0,4.7
South and East,City,2008,Clothing and Footwear,2217.0,6.0
South and East,City,2008,"Housing, Water, Energy, Gas, etc.",5338.0,14.6
South and East,City,2008,Home Equipment and Maintenance,1650.0,4.5
South and East,City,2008,Health,1282.0,3.5
South and East,City,2008,Transport,3594.0,9.8
South and East,City,2008,Communication,1275.0,3.5
South and East,City,2008,Culture and Recreation,1605.0,4.4
South and East,City,2008,Education,276.0,0.8
South and East,City,2008,Hotels and Restaurants,845.0,2.3
South and East,City,2008,Other Items and Services,1194.0,3.3
South and East,Rest,2008,Total,32625.0,100.0
South and East,Rest,2008,Food and Non-Alcoholic Beverages,15722.0,48.3
South and East,Rest,2008,"Alcohol, Tobacco and Narcotics",1639.0,5.0
South and East,Rest,2008,Clothing and Footwear,1614.0,4.9
South and East,Rest,2008,"Housing, Water, Energy, Gas, etc.",4712.0,14.4
South and East,Rest,2008,Home Equipment and Maintenance,1363.0,4.2
South and East,Rest,2008,Health,1323.0,4.1
South and East,Rest,2008,Transport,3028.0,9.3
South and East,Rest,2008,Communication,945.0,2.9
South and East,Rest,2008,Culture and Recreation,824.0,2.5
South and East,Rest,2008,Education,133.0,0.4
South and East,Rest,2008,Hotels and Restaurants,524.0,1.6
South and East,Rest,2008,Other Items and Services,798.0,2.4
State,Total,2009,Total,43198.0,100.0
State,Total,2009,Food and Non-Alcoholic Beverages,17564.0,40.8
State,Total,2009,"Alcohol, Tobacco and Narcotics",1900.0,4.4
State,Total,2009,Clothing and Footwear,2223.0,5.1
State,Total,2009,"Housing, Water, Energy, Gas, etc.",7026.0,16.3
State,Total,2009,Home Equipment and Maintenance,1908.0,4.4
State,Total,2009,Health,1631.0,3.8
State,Total,2009,Transport,3940.0,9.1
State,Total,2009,Communication,1603.0,3.7
State,Total,2009,Culture and Recreation,2162.0,5.0
State,Total,2009,Education,443.0,1.0
State,Total,2009,Hotels and Restaurants,879.0,2.0
State,Total,2009,Other Items and Services,1919.0,4.4
State,City,2009,Total,45180.0,100.0
State,City,2009,Food and Non-Alcoholic Beverages,17756.0,39.4
State,City,2009,"Alcohol, Tobacco and Narcotics",1802.0,4.0
State,City,2009,Clothing and Footwear,2356.0,5.2
State,City,2009,"Housing, Water, Energy, Gas, etc.",7433.0,16.5
State,City,2009,Home Equipment and Maintenance,1988.0,4.4
State,City,2009,Health,1771.0,3.9
State,City,2009,Transport,3893.0,8.6
State,City,2009,Communication,1780.0,3.9
State,City,2009,Culture and Recreation,2733.0,6.0
State,City,2009,Education,559.0,1.2
State,City,2009,Hotels and Restaurants,972.0,2.2
State,City,2009,Other Items and Services,2137.0,4.7
State,Rest,2009,Total,40353.0,100.0
State,Rest,2009,Food and Non-Alcoholic Beverages,17294.0,42.9
State,Rest,2009,"Alcohol, Tobacco and Narcotics",2041.0,5.1
State,Rest,2009,Clothing and Footwear,2032.0,5.0
State,Rest,2009,"Housing, Water, Energy, Gas, etc.",6437.0,16.1
State,Rest,2009,Home Equipment and Maintenance,1793.0,4.4
State,Rest,2009,Health,1429.0,3.5
State,Rest,2009,Transport,4006.0,9.9
State,Rest,2009,Communication,1350.0,3.3
State,Rest,2009,Culture and Recreation,1342.0,3.3
State,Rest,2009,Education,276.0,0.7
State,Rest,2009,Hotels and Restaurants,746.0,1.8
State,Rest,2009,Other Items and Services,1607.0,4.0
Belgrade,Total,2009,Total,50489.0,100.0
Belgrade,Total,2009,Food and Non-Alcoholic Beverages,20837.0,41.2
Belgrade,Total,2009,"Alcohol, Tobacco and Narcotics",1820.0,3.6
Belgrade,Total,2009,Clothing and Footwear,2287.0,4.5
Belgrade,Total,2009,"Housing, Water, Energy, Gas, etc.",7768.0,15.4
Belgrade,Total,2009,Home Equipment and Maintenance,1654.0,3.3
Belgrade,Total,2009,Health,2513.0,5.0
Belgrade,Total,2009,Transport,3911.0,7.7
Belgrade,Total,2009,Communication,1844.0,3.7
Belgrade,Total,2009,Culture and Recreation,3037.0,6.0
Belgrade,Total,2009,Education,799.0,1.6
Belgrade,Total,2009,Hotels and Restaurants,1311.0,2.6
Belgrade,Total,2009,Other Items and Services,2708.0,5.4
Belgrade,City,2009,Total,50206.0,100.0
Belgrade,City,2009,Food and Non-Alcoholic Beverages,20916.0,41.6
Belgrade,City,2009,"Alcohol, Tobacco and Narcotics",1696.0,3.4
Belgrade,City,2009,Clothing and Footwear,2231.0,4.4
Belgrade,City,2009,"Housing, Water, Energy, Gas, etc.",7683.0,15.3
Belgrade,City,2009,Home Equipment and Maintenance,1620.0,3.2
Belgrade,City,2009,Health,2444.0,4.9
Belgrade,City,2009,Transport,3681.0,7.3
Belgrade,City,2009,Communication,1862.0,3.7
Belgrade,City,2009,Culture and Recreation,3190.0,6.4
Belgrade,City,2009,Education,880.0,1.8
Belgrade,City,2009,Hotels and Restaurants,1306.0,2.6
Belgrade,City,2009,Other Items and Services,2697.0,5.4
Belgrade,Rest,2009,Total,51895.0,100.0
Belgrade,Rest,2009,Food and Non-Alcoholic Beverages,20435.0,39.3
Belgrade,Rest,2009,"Alcohol, Tobacco and Narcotics",2438.0,4.7
Belgrade,Rest,2009,Clothing and Footwear,2567.0,4.9
Belgrade,Rest,2009,"Housing, Water, Energy, Gas, etc.",8196.0,15.8
Belgrade,Rest,2009,Home Equipment and Maintenance,1825.0,3.5
Belgrade,Rest,2009,Health,2858.0,5.5
Belgrade,Rest,2009,Transport,5063.0,9.8
Belgrade,Rest,2009,Communication,1752.0,3.4
Belgrade,Rest,2009,Culture and Recreation,2269.0,4.4
Belgrade,Rest,2009,Education,391.0,0.8
Belgrade,Rest,2009,Hotels and Restaurants,1337.0,2.6
Belgrade,Rest,2009,Other Items and Services,2764.0,5.3
Voyvodina/North,Total,2009,Total,45012.0,100.0
Voyvodina/North,Total,2009,Food and Non-Alcoholic Beverages,16915.0,37.8
Voyvodina/North,Total,2009,"Alcohol, Tobacco and Narcotics",1840.0,4.1
Voyvodina/North,Total,2009,Clothing and Footwear,2332.0,5.2
Voyvodina/North,Total,2009,"Housing, Water, Energy, Gas, etc.",7936.0,17.6
Voyvodina/North,Total,2009,Home Equipment and Maintenance,2359.0,5.2
Voyvodina/North,Total,2009,Health,1546.0,3.4
Voyvodina/North,Total,2009,Transport,4433.0,9.8
Voyvodina/North,Total,2009,Communication,1775.0,3.9
Voyvodina/North,Total,2009,Culture and Recreation,2391.0,5.3
Voyvodina/North,Total,2009,Education,444.0,1.0
Voyvodina/North,Total,2009,Hotels and Restaurants,826.0,1.8
Voyvodina/North,Total,2009,Other Items and Services,2215.0,4.9
Voyvodina/North,City,2009,Total,46795.0,100.0
Voyvodina/North,City,2009,Food and Non-Alcoholic Beverages,16801.0,35.8
Voyvodina/North,City,2009,"Alcohol, Tobacco and Narcotics",1790.0,3.8
Voyvodina/North,City,2009,Clothing and Footwear,2419.0,5.2
Voyvodina/North,City,2009,"Housing, Water, Energy, Gas, etc.",8408.0,18.0
Voyvodina/North,City,2009,Home Equipment and Maintenance,2536.0,5.4
Voyvodina/North,City,2009,Health,1672.0,3.6
Voyvodina/North,City,2009,Transport,4478.0,9.6
Voyvodina/North,City,2009,Communication,1988.0,4.2
Voyvodina/North,City,2009,Culture and Recreation,2977.0,6.4
Voyvodina/North,City,2009,Education,465.0,1.0
Voyvodina/North,City,2009,Hotels and Restaurants,846.0,1.8
Voyvodina/North,City,2009,Other Items and Services,2415.0,5.2
Voyvodina/North,Rest,2009,Total,42562.0,100.0
Voyvodina/North,Rest,2009,Food and Non-Alcoholic Beverages,17073.0,40.0
Voyvodina/North,Rest,2009,"Alcohol, Tobacco and Narcotics",1907.0,4.5
Voyvodina/North,Rest,2009,Clothing and Footwear,2212.0,5.2
Voyvodina/North,Rest,2009,"Housing, Water, Energy, Gas, etc.",7286.0,17.1
Voyvodina/North,Rest,2009,Home Equipment and Maintenance,2117.0,5.0
Voyvodina/North,Rest,2009,Health,1374.0,3.2
Voyvodina/North,Rest,2009,Transport,4372.0,10.3
Voyvodina/North,Rest,2009,Communication,1482.0,3.5
Voyvodina/North,Rest,2009,Culture and Recreation,1586.0,3.7
Voyvodina/North,Rest,2009,Education,415.0,1.0
Voyvodina/North,Rest,2009,Hotels and Restaurants,798.0,1.9
Voyvodina/North,Rest,2009,Other Items and Services,1940.0,4.6
Central and West,Total,2009,Total,42520.0,100.0
Central and West,Total,2009,Food and Non-Alcoholic Beverages,16930.0,39.8
Central and West,Total,2009,"Alcohol, Tobacco and Narcotics",2110.0,5.0
Central and West,Total,2009,Clothing and Footwear,2354.0,5.5
Central and West,Total,2009,"Housing, Water, Energy, Gas, etc.",7451.0,17.5
Central and West,Total,2009,Home Equipment and Maintenance,1992.0,4.7
Central and West,Total,2009,Health,1405.0,3.3
Central and West,Total,2009,Transport,4203.0,9.9
Central and West,Total,2009,Communication,1607.0,3.8
Central and West,Total,2009,Culture and Recreation,1672.0,3.9
Central and West,Total,2009,Education,330.0,0.8
Central and West,Total,2009,Hotels and Restaurants,820.0,1.9
Central and West,Total,2009,Other Items and Services,1646.0,3.9
Central and West,City,2009,Total,44018.0,100.0
Central and West,City,2009,Food and Non-Alcoholic Beverages,16449.0,37.4
Central and West,City,2009,"Alcohol, Tobacco and Narcotics",2059.0,4.7
Central and West,City,2009,Clothing and Footwear,2662.0,6.0
Central and West,City,2009,"Housing, Water, Energy, Gas, etc.",7908.0,18.0
Central and West,City,2009,Home Equipment and Maintenance,2212.0,5.0
Central and West,City,2009,Health,1498.0,3.4
Central and West,City,2009,Transport,4118.0,9.4
Central and West,City,2009,Communication,1816.0,4.1
Central and West,City,2009,Culture and Recreation,2282.0,5.2
Central and West,City,2009,Education,371.0,0.8
Central and West,City,2009,Hotels and Restaurants,880.0,2.0
Central and West,City,2009,Other Items and Services,1763.0,4.0
Central and West,Rest,2009,Total,41183.0,100.0
Central and West,Rest,2009,Food and Non-Alcoholic Beverages,17351.0,42.1
Central and West,Rest,2009,"Alcohol, Tobacco and Narcotics",2156.0,5.2
Central and West,Rest,2009,Clothing and Footwear,2080.0,5.1
Central and West,Rest,2009,"Housing, Water, Energy, Gas, etc.",7045.0,17.1
Central and West,Rest,2009,Home Equipment and Maintenance,1796.0,4.4
Central and West,Rest,2009,Health,1322.0,3.2
Central and West,Rest,2009,Transport,4278.0,10.4
Central and West,Rest,2009,Communication,1421.0,3.5
Central and West,Rest,2009,Culture and Recreation,1130.0,2.7
Central and West,Rest,2009,Education,295.0,0.7
Central and West,Rest,2009,Hotels and Restaurants,767.0,1.9
Central and West,Rest,2009,Other Items and Services,1542.0,3.7
South and East,Total,2009,Total,34419.0,100.0
South and East,Total,2009,Food and Non-Alcoholic Beverages,15835.0,46.1
South and East,Total,2009,"Alcohol, Tobacco and Narcotics",1805.0,5.2
South and East,Total,2009,Clothing and Footwear,1865.0,5.4
South and East,Total,2009,"Housing, Water, Energy, Gas, etc.",4633.0,13.5
South and East,Total,2009,Home Equipment and Maintenance,1506.0,4.4
South and East,Total,2009,Health,1117.0,3.2
South and East,Total,2009,Transport,3040.0,8.8
South and East,Total,2009,Communication,1143.0,3.3
South and East,Total,2009,Culture and Recreation,1588.0,4.6
South and East,Total,2009,Education,218.0,0.6
South and East,Total,2009,Hotels and Restaurants,581.0,1.7
South and East,Total,2009,Other Items and Services,1088.0,3.2
South and East,City,2009,Total,35702.0,100.0
South and East,City,2009,Food and Non-Alcoholic Beverages,15260.0,42.8
South and East,City,2009,"Alcohol, Tobacco and Narcotics",1714.0,4.8
South and East,City,2009,Clothing and Footwear,2126.0,6.0
South and East,City,2009,"Housing, Water, Energy, Gas, etc.",5077.0,14.2
South and East,City,2009,Home Equipment and Maintenance,1569.0,4.4
South and East,City,2009,Health,1091.0,3.1
South and East,City,2009,Transport,3153.0,8.8
South and East,City,2009,Communication,1301.0,3.6
South and East,City,2009,Culture and Recreation,2129.0,6.0
South and East,City,2009,Education,365.0,1.0
South and East,City,2009,Hotels and Restaurants,696.0,1.9
South and East,City,2009,Other Items and Services,1221.0,3.4
South and East,Rest,2009,Total,33135.0,100.0
South and East,Rest,2009,Food and Non-Alcoholic Beverages,16404.0,49.5
South and East,Rest,2009,"Alcohol, Tobacco and Narcotics",1895.0,5.7
South and East,Rest,2009,Clothing and Footwear,1604.0,4.8
South and East,Rest,2009,"Housing, Water, Energy, Gas, etc.",4190.0,12.6
South and East,Rest,2009,Home Equipment and Maintenance,1442.0,4.4
South and East,Rest,2009,Health,1144.0,3.5
South and East,Rest,2009,Transport,2926.0,8.8
South and East,Rest,2009,Communication,986.0,3.0
South and East,Rest,2009,Culture and Recreation,1050.0,3.2
South and East,Rest,2009,Education,71.0,0.2
South and East,Rest,2009,Hotels and Restaurants,467.0,1.4
South and East,Rest,2009,Other Items and Services,956.0,2.9
State,Total,2010,Total,45720.0,100.0
State,Total,2010,Food and Non-Alcoholic Beverages,17446.0,38.3
State,Total,2010,"Alcohol, Tobacco and Narcotics",1886.0,4.1
State,Total,2010,Clothing and Footwear,2334.0,5.1
State,Total,2010,"Housing, Water, Energy, Gas, etc.",7775.0,17.0
State,Total,2010,Home Equipment and Maintenance,2134.0,4.7
State,Total,2010,Health,2002.0,4.4
State,Total,2010,Transport,4363.0,9.5
State,Total,2010,Communication,1894.0,4.1
State,Total,2010,Culture and Recreation,2257.0,4.9
State,Total,2010,Education,459.0,1.0
State,Total,2010,Hotels and Restaurants,931.0,2.0
State,Total,2010,Other Items and Services,2239.0,4.9
State,City,2010,Total,47982.0,100.0
State,City,2010,Food and Non-Alcoholic Beverages,17708.0,36.8
State,City,2010,"Alcohol, Tobacco and Narcotics",1764.0,3.7
State,City,2010,Clothing and Footwear,2443.0,5.1
State,City,2010,"Housing, Water, Energy, Gas, etc.",8296.0,17.3
State,City,2010,Home Equipment and Maintenance,2185.0,4.6
State,City,2010,Health,2116.0,4.4
State,City,2010,Transport,4323.0,9.0
State,City,2010,Communication,2144.0,4.5
State,City,2010,Culture and Recreation,2864.0,6.0
State,City,2010,Education,615.0,1.3
State,City,2010,Hotels and Restaurants,1075.0,2.2
State,City,2010,Other Items and Services,2449.0,5.1
State,Rest,2010,Total,42461.0,100.0
State,Rest,2010,Food and Non-Alcoholic Beverages,17067.0,40.1
State,Rest,2010,"Alcohol, Tobacco and Narcotics",2060.0,4.9
State,Rest,2010,Clothing and Footwear,2178.0,5.1
State,Rest,2010,"Housing, Water, Energy, Gas, etc.",7021.0,16.5
State,Rest,2010,Home Equipment and Maintenance,2062.0,4.9
State,Rest,2010,Health,1839.0,4.3
State,Rest,2010,Transport,4415.0,10.4
State,Rest,2010,Communication,1536.0,3.6
State,Rest,2010,Culture and Recreation,1386.0,3.3
State,Rest,2010,Education,235.0,0.6
State,Rest,2010,Hotels and Restaurants,724.0,1.7
State,Rest,2010,Other Items and Services,1938.0,4.6
Belgrade,Total,2010,Total,53287.0,100.0
Belgrade,Total,2010,Food and Non-Alcoholic Beverages,20160.0,37.9
Belgrade,Total,2010,"Alcohol, Tobacco and Narcotics",1773.0,3.3
Belgrade,Total,2010,Clothing and Footwear,2400.0,4.5
Belgrade,Total,2010,"Housing, Water, Energy, Gas, etc.",8693.0,16.4
Belgrade,Total,2010,Home Equipment and Maintenance,1892.0,3.6
Belgrade,Total,2010,Health,2743.0,5.1
Belgrade,Total,2010,Transport,4388.0,8.2
Belgrade,Total,2010,Communication,2209.0,4.1
Belgrade,Total,2010,Culture and Recreation,3832.0,7.2
Belgrade,Total,2010,Education,801.0,1.5
Belgrade,Total,2010,Hotels and Restaurants,1341.0,2.5
Belgrade,Total,2010,Other Items and Services,3055.0,5.7
Belgrade,City,2010,Total,54041.0,100.0
Belgrade,City,2010,Food and Non-Alcoholic Beverages,20054.0,37.1
Belgrade,City,2010,"Alcohol, Tobacco and Narcotics",1617.0,3.0
Belgrade,City,2010,Clothing and Footwear,2426.0,4.5
Belgrade,City,2010,"Housing, Water, Energy, Gas, etc.",8859.0,16.3
Belgrade,City,2010,Home Equipment and Maintenance,1889.0,3.5
Belgrade,City,2010,Health,2816.0,5.2
Belgrade,City,2010,Transport,4428.0,8.2
Belgrade,City,2010,Communication,2281.0,4.2
Belgrade,City,2010,Culture and Recreation,4192.0,7.8
Belgrade,City,2010,Education,843.0,1.6
Belgrade,City,2010,Hotels and Restaurants,1437.0,2.7
Belgrade,City,2010,Other Items and Services,3199.0,5.9
Belgrade,Rest,2010,Total,49523.0,100.0
Belgrade,Rest,2010,Food and Non-Alcoholic Beverages,20705.0,41.7
Belgrade,Rest,2010,"Alcohol, Tobacco and Narcotics",2564.0,5.2
Belgrade,Rest,2010,Clothing and Footwear,2272.0,4.6
Belgrade,Rest,2010,"Housing, Water, Energy, Gas, etc.",7857.0,15.9
Belgrade,Rest,2010,Home Equipment and Maintenance,1907.0,3.9
Belgrade,Rest,2010,Health,2378.0,4.8
Belgrade,Rest,2010,Transport,4191.0,8.5
Belgrade,Rest,2010,Communication,1845.0,3.7
Belgrade,Rest,2010,Culture and Recreation,2026.0,4.1
Belgrade,Rest,2010,Education,590.0,1.2
Belgrade,Rest,2010,Hotels and Restaurants,860.0,1.7
Belgrade,Rest,2010,Other Items and Services,2328.0,4.7
Voyvodina/North,Total,2010,Total,47286.0,100.0
Voyvodina/North,Total,2010,Food and Non-Alcoholic Beverages,16467.0,34.8
Voyvodina/North,Total,2010,"Alcohol, Tobacco and Narcotics",1995.0,4.2
Voyvodina/North,Total,2010,Clothing and Footwear,2418.0,5.1
Voyvodina/North,Total,2010,"Housing, Water, Energy, Gas, etc.",8847.0,18.7
Voyvodina/North,Total,2010,Home Equipment and Maintenance,2535.0,5.4
Voyvodina/North,Total,2010,Health,2170.0,4.6
Voyvodina/North,Total,2010,Transport,4650.0,9.8
Voyvodina/North,Total,2010,Communication,2146.0,4.5
Voyvodina/North,Total,2010,Culture and Recreation,2208.0,4.7
Voyvodina/North,Total,2010,Education,417.0,0.9
Voyvodina/North,Total,2010,Hotels and Restaurants,888.0,1.9
Voyvodina/North,Total,2010,Other Items and Services,2545.0,5.4
Voyvodina/North,City,2010,Total,47548.0,100.0
Voyvodina/North,City,2010,Food and Non-Alcoholic Beverages,16035.0,33.5
Voyvodina/North,City,2010,"Alcohol, Tobacco and Narcotics",1785.0,3.8
Voyvodina/North,City,2010,Clothing and Footwear,2324.0,4.9
Voyvodina/North,City,2010,"Housing, Water, Energy, Gas, etc.",9261.0,19.5
Voyvodina/North,City,2010,Home Equipment and Maintenance,2628.0,5.5
Voyvodina/North,City,2010,Health,2211.0,4.7
Voyvodina/North,City,2010,Transport,4448.0,9.4
Voyvodina/North,City,2010,Communication,2326.0,4.9
Voyvodina/North,City,2010,Culture and Recreation,2578.0,5.4
Voyvodina/North,City,2010,Education,550.0,1.2
Voyvodina/North,City,2010,Hotels and Restaurants,848.0,1.8
Voyvodina/North,City,2010,Other Items and Services,2554.0,5.4
Voyvodina/North,Rest,2010,Total,46932.0,100.0
Voyvodina/North,Rest,2010,Food and Non-Alcoholic Beverages,17062.0,36.5
Voyvodina/North,Rest,2010,"Alcohol, Tobacco and Narcotics",2288.0,4.9
Voyvodina/North,Rest,2010,Clothing and Footwear,2546.0,5.4
Voyvodina/North,Rest,2010,"Housing, Water, Energy, Gas, etc.",8278.0,17.6
Voyvodina/North,Rest,2010,Home Equipment and Maintenance,2407.0,5.1
Voyvodina/North,Rest,2010,Health,2114.0,4.5
Voyvodina/North,Rest,2010,Transport,4929.0,10.5
Voyvodina/North,Rest,2010,Communication,1898.0,4.0
Voyvodina/North,Rest,2010,Culture and Recreation,1701.0,3.6
Voyvodina/North,Rest,2010,Education,234.0,0.5
Voyvodina/North,Rest,2010,Hotels and Restaurants,942.0,2.0
Voyvodina/North,Rest,2010,Other Items and Services,2533.0,5.4
Central and West,Total,2010,Total,45278.0,100.0
Central and West,Total,2010,Food and Non-Alcoholic Beverages,16962.0,37.5
Central and West,Total,2010,"Alcohol, Tobacco and Narcotics",2112.0,4.7
Central and West,Total,2010,Clothing and Footwear,2548.0,5.6
Central and West,Total,2010,"Housing, Water, Energy, Gas, etc.",7934.0,17.5
Central and West,Total,2010,Home Equipment and Maintenance,2137.0,4.7
Central and West,Total,2010,Health,1733.0,3.8
Central and West,Total,2010,Transport,5013.0,11.1
Central and West,Total,2010,Communication,1815.0,4.0
Central and West,Total,2010,Culture and Recreation,1648.0,3.6
Central and West,Total,2010,Education,461.0,1.0
Central and West,Total,2010,Hotels and Restaurants,845.0,1.9
Central and West,Total,2010,Other Items and Services,2070.0,4.6
Central and West,City,2010,Total,47094.0,100.0
Central and West,City,2010,Food and Non-Alcoholic Beverages,17236.0,36.6
Central and West,City,2010,"Alcohol, Tobacco and Narcotics",2077.0,4.4
Central and West,City,2010,Clothing and Footwear,2850.0,6.1
Central and West,City,2010,"Housing, Water, Energy, Gas, etc.",8162.0,17.3
Central and West,City,2010,Home Equipment and Maintenance,2247.0,4.8
Central and West,City,2010,Health,1652.0,3.5
Central and West,City,2010,Transport,4774.0,10.1
Central and West,City,2010,Communication,2148.0,4.6
Central and West,City,2010,Culture and Recreation,2016.0,4.3
Central and West,City,2010,Education,769.0,1.6
Central and West,City,2010,Hotels and Restaurants,1022.0,2.2
Central and West,City,2010,Other Items and Services,2141.0,4.5
Central and West,Rest,2010,Total,43658.0,100.0
Central and West,Rest,2010,Food and Non-Alcoholic Beverages,16718.0,38.3
Central and West,Rest,2010,"Alcohol, Tobacco and Narcotics",2142.0,4.9
Central and West,Rest,2010,Clothing and Footwear,2279.0,5.2
Central and West,Rest,2010,"Housing, Water, Energy, Gas, etc.",7732.0,17.7
Central and West,Rest,2010,Home Equipment and Maintenance,2040.0,4.7
Central and West,Rest,2010,Health,1804.0,4.1
Central and West,Rest,2010,Transport,5224.0,12.0
Central and West,Rest,2010,Communication,1518.0,3.5
Central and West,Rest,2010,Culture and Recreation,1320.0,3.0
Central and West,Rest,2010,Education,188.0,0.4
Central and West,Rest,2010,Hotels and Restaurants,687.0,1.6
Central and West,Rest,2010,Other Items and Services,2006.0,4.6
South and East,Total,2010,Total,36573.0,100.0
South and East,Total,2010,Food and Non-Alcoholic Beverages,16406.0,44.9
South and East,Total,2010,"Alcohol, Tobacco and Narcotics",1595.0,4.4
